Title,Subtitle,Status,SupportStatus,Year,imdbRating,Studio,Earnings,Budget,Key,Remarks,Interesting?
BENEATH THE FLESH,,LIMITED,Assisted,,,,,,BENEATH THE FLESH_,"PRODUCER REQUESTED TANKS, APCS, HUMVEES, 150 EXTRAS, ETC., ETC. EXPLOITIVE, GRISLY FILM ABOUT VAMPIRES ATTACKING AND DEVOURING PEOPLE AFTER A POLLUTING CHEMICAL COMPANY INADVERTENTLY DISTURBS THE TOMB OF AN ANCIENT AMERICAN INDIAN VAMPIRE. NATIONAL GUARD SHOWN SOMEWHAT INEPTLY COMBATING THE VAMPIRES, ALSO TWO SOLDIERS DEVOURED WHILE SMOKING MARIJUANA WHILE ON GUARD DUTY. NATIONAL GUARD TURNED DOWN CONCEPT AT NATIONAL GUARD LEVEL. NO FILE, NO RECORD THAT FILM WAS EVER MADE.",y - funny
FLIGHT TO NOWHERE,,APPROVED,Assisted,,,,,,FLIGHT TO NOWHERE_,THE FILM HAS A POSITIVE PORTRAYAL OF THE NAVY. FILM ALSO ENHANCES THE RECRUITING EFFORT OF THE NAVY. NO RECORD OF FILM BEING MADE,
MILITARY AIR SCOUT,,LIMITED,Assisted,1911,,,,,MILITARY AIR SCOUT_1911,"FUTURE GENERAL HAP ARNOLD TOOK HIS BI-PLANE FROM COLLEGE PARK, MARYLAND, TO LONG ISLAND FOR AN AIR SHOW. FILMMAKER ASKED HIM TO FLY PLANE FOR CAMERA AND CREATED STORY. ARNOLD BECAME INTRIGUED WITH FILMMAKING AND SON SAID HE EVEN CONSIDERED LEAVING ARMY FOR A CAREER IN FILM. HOWEVER, CONTACTS WITH MOTION PICTURE INDUSTRY CONTINUED ENABLING HIM TO REGULARLY HAVE STORIES ABOUT ARMY AIR CORPS PRODUCED",
BIRTH OF A NATION,,APPROVED,Assisted,1915,,,,,BIRTH OF A NATION_1915,FIRST GREAT AMERICAN WAR MOVIE. WEST POINT PROVIDED SOME HISTORICAL. INFORMATION AND CANONS TO HELP CREATE A CIVIL WAR BATTLEFIELD,Y
MADAME BUTTERFLY,,DENIED,Not assisted,1915,,,,,MADAME BUTTERFLY_1915,"PROBABLY THE FIRST FILM ON WHICH THE NAVY REFUSED TO ASSIST. STANDARD STORY OF AN AMERICAN NAVAL OFFICER VISITING JAPAN, SEDUCING JAPANESE GIRL, PRETENDING TO MARRY HER, AND THEN ABANDONING GIRL AND THEIR CHILD WHEN HE RETURNS TO US. AND GIRL KILLS SELF. NAVY THOUGHT THIS WAS A BAD IMAGE OF AN OFFICER AND SO REFUSED TO GIVE ACCESS TO A SHIP AND CREW.",Y
SUBMARINE PIRATE,,APPROVED,Assisted,1915,,,,,SUBMARINE PIRATE_1915,"NAVY LOANED CHARLIE CHAPLIN'S BROTHER SYDNEY A SUBMARINE IN THE MAKING OF A SILLY COMEDY. HOWEVER, NAVY LIKED FILM SO MUCH, IT BOUGHT TWO COPIES TO USE AS A RECRUITING TOOL. APPROVED ASSISTANCE, DATE APPROXIMATE, NO FILE, FILM AT LIBRARY OF CONGRESS",
HERO OF SUBMARINE D-2,,APPROVED,Assisted,1916,,,,,HERO OF SUBMARINE D-2_1916,NAVY GAVE COOPERATION TO EARLY SUBMARINE STORY--USE OF SUB FOR EXTERIOR SHOTS,
STAR SPANGLED BANNER,,APPROVED,Assisted,1917,,,,,STAR SPANGLED BANNER_1917,"FILM WAS SHOT WITH FULL MARINE CORPS COOPERATION AT THE MARINE BARRACKS IN BREMERTON, WASHINGTON. THE MARINES PROVIDED THE LOCATION, MARINES AS EXTRAS, AND EQUIPMENT FOR A RITE OF PASSAGE STORY OF A HALF-ENGLISH, HALF-AMERICAN TEENAGER WHOSE MOTHER MARRIES A MARINE COLONEL AND HE COMES TO STAY, LEARNING ABOUT BOTH THE MARINES AND AMERICAN HISTORY. WHEN THE US. ENTERS WORLD WAR I, THE BOY PUTS THE UNION JACK AND STAR SPANGLED BANNER TOGETHER TO SYMBOLIZE THE NEW ALLIANCE",
THE UNBELIEVER,,APPROVED,Assisted,1918,,,,,THE UNBELIEVER_1918,WORLD WAR I FILM ABOUT MARINE TRAINING AND FIGHTING IN EUROPE. MARINES PROVIDED FULL COOPERATION DURING SHOOTING AT QUANTICO. HELPED CREATE BATTLE SCENES AND PROVIDED MARINES AS EXTRAS. MARINE CORPS USED FILM FOR RECRUITING PURPOSES BY WRITING TO THE NEWSPAPERS OF HOME TOWNS OF MEN WHO HAD PARTICIPATED ON THE MOVIE AND THEN SET UP RECRUITING BOOTHS IN LOBBIES OF THE THEATERS SHOWING FILM. CONTAINS EARLY RITE OF PASSAGE FORMULA THAT SUBSEQUENT MARINE FILMS FOLLOWED,YY
AMERICA,,APPROVED,Assisted,1924,,,,,AMERICA_1924,"FILM WAS D.W. GRIFFITH'S ATTEMPT TO DO FOR THE AMERICAN REVOLUTION WHAT BIRTH OF A NATION DID FOR THE CIVIL WAR AND RECONSTRUCTION. ARMY PROVIDED A CAVALRY UNIT, MEN, AND SUPPORT EQUIPMENT ON THEORY THAT ITS OFFICERS COULD STUDY TACTICS USED TO FIGHT THE REVOLUTION.",Y
